glyph_id	text	unicode	source_unit	unit_kind
0	０	U+FF10	０	fullwidth_single
1	１	U+FF11	１	fullwidth_single
2	２	U+FF12	２	fullwidth_single
3	３	U+FF13	３	fullwidth_single
4	４	U+FF14	４	fullwidth_single
5	５	U+FF15	５	fullwidth_single
6	６	U+FF16	６	fullwidth_single
7	７	U+FF17	７	fullwidth_single
8	８	U+FF18	８	fullwidth_single
9	９	U+FF19	９	fullwidth_single
10	Ａ	U+FF21	Ａ	fullwidth_single
11	Ｂ	U+FF22	Ｂ	fullwidth_single
12	Ｃ	U+FF23	Ｃ	fullwidth_single
13	Ｄ	U+FF24	Ｄ	fullwidth_single
14	Ｅ	U+FF25	Ｅ	fullwidth_single
15	Ｆ	U+FF26	Ｆ	fullwidth_single
16	Ｇ	U+FF27	Ｇ	fullwidth_single
17	Ｈ	U+FF28	Ｈ	fullwidth_single
18	Ｉ	U+FF29	Ｉ	fullwidth_single
19	Ｊ	U+FF2A	Ｊ	fullwidth_single
20	Ｋ	U+FF2B	Ｋ	fullwidth_single
21	Ｌ	U+FF2C	Ｌ	fullwidth_single
22	Ｍ	U+FF2D	Ｍ	fullwidth_single
23	Ｎ	U+FF2E	Ｎ	fullwidth_single
24	Ｏ	U+FF2F	Ｏ	fullwidth_single
25	Ｐ	U+FF30	Ｐ	fullwidth_single
26	Ｑ	U+FF31	Ｑ	fullwidth_single
27	Ｒ	U+FF32	Ｒ	fullwidth_single
28	Ｓ	U+FF33	Ｓ	fullwidth_single
29	Ｔ	U+FF34	Ｔ	fullwidth_single
30	Ｕ	U+FF35	Ｕ	fullwidth_single
31	Ｖ	U+FF36	Ｖ	fullwidth_single
32	Ｗ	U+FF37	Ｗ	fullwidth_single
33	Ｘ	U+FF38	Ｘ	fullwidth_single
34	Ｙ	U+FF39	Ｙ	fullwidth_single
35	Ｚ	U+FF3A	Ｚ	fullwidth_single
36	索	U+7D22	索	fullwidth_single
37	爾	U+723E	爾	fullwidth_single
38	哈	U+54C8	哈	fullwidth_single
39	諾	U+8AFE	諾	fullwidth_single
40	鐵	U+9435	鐵	fullwidth_single
41	瓦	U+74E6	瓦	fullwidth_single
42	特	U+7279	特	fullwidth_single
43	亞	U+4E9E	亞	fullwidth_single
44	雷	U+96F7	雷	fullwidth_single
45	斯	U+65AF	斯	fullwidth_single
46	洛	U+6D1B	洛	fullwidth_single
47	娜	U+5A1C	娜	fullwidth_single
48	萊	U+840A	萊	fullwidth_single
